"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
74839,14,INYO,GBV,GREAT BASIN VALLEYS,GBU,GREAT BASIN UNIFIED APCD,93093402000000,930,WILDFIRES,N,1.9711662,,0.00675056917808219178082191780821917808223,0.0000865457586933614330874604847207586933618
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,93093402000000,930,WILDFIRES,N,2923.4204064,,0.1191870681017612524461839530332681017618,0.1001171372054794520547945205479452054799
108883,12,HUMBOLDT,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,93093402000000,930,WILDFIRES,N,79698.4254513,,3.24928349034980430528375733855185909983,2.72939813189383561643835616438356164385
74839,33,RIVERSIDE,MD,MOJAVE DESERT,SC,SOUTH COAST AQMD,93093402000000,930,WILDFIRES,N,0,,0,0
108883,42,SANTA BARBARA,SCC,SOUTH CENTRAL COAST,SB,SANTA BARBARA COUNTY APCD,93093402000000,930,WILDFIRES,N,109.48867416,,0.004463823962818003913894324853228962818037,0.00374961212876712328767123287671232876715
108883,4,BUTTE,SV,SACRAMENTO VALLEY,BUT,BUTTE COUNTY AQMD,93093402000000,930,WILDFIRES,N,214909.80931404,,8.76181544822407045009784735812133072411,7.35992497650821917808219178082191780825
108883,37,SAN DIEGO,SD,SAN DIEGO COUNTY,SD,SAN DIEGO COUNTY APCD,93093402000000,930,WILDFIRES,N,4308.49100106,,0.1756560258096868884540117416829745596876,0.1475510616801369863013698630136986301376
108883,16,KINGS,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,93093402000000,930,WILDFIRES,N,3.4487208,,0.000140603424657534246575342465753424657535,0.000118106876712328767123287671232876712329
108883,31,PLACER,SV,SACRAMENTO VALLEY,PLA,PLACER COUNTY APCD,93093402000000,930,WILDFIRES,N,40.29939738,,0.001642995653131115459882583170254403131122,0.001380116348630136986301369863013698630143
74839,23,MENDOCINO,NC,NORTH COAST,MEN,MENDOCINO COUNTY AQMD,93093402000000,930,WILDFIRES,N,1058.7239849,,3.62576707157534246575342465753424657537,0.046484193225324903407095187917105725325
108883,49,SONOMA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,93093402000000,930,WILDFIRES,N,38098.76590044,,1.55327649626712328767123287671232876714,1.30475225686438356164383561643835616439
74839,13,IMPERIAL,SS,SALTON SEA,IMP,IMPERIAL COUNTY APCD,93093402000000,930,WILDFIRES,N,0.1291126,,0.000442166438356164383561643835616438356167,0.00000566880049174569722514927994380049174571
108883,33,RIVERSIDE,SS,SALTON SEA,SC,SOUTH COAST AQMD,93093402000000,930,WILDFIRES,N,511.5055104,,0.0208539428571428571428571428571428571429,0.0175173120000000000000000000000000000001
108883,27,MONTEREY,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,93093402000000,930,WILDFIRES,N,130402.565586,,5.31647772284735812133072407045009784738,4.4658412871917808219178082191780821918
108883,36,SAN BERNARDINO,SC,SOUTH COAST,SC,SOUTH COAST AQMD,93093402000000,930,WILDFIRES,N,36610.6209786,,1.49260522580724070450097847358121330725,1.25378838967808219178082191780821917809
108883,33,RIVERSIDE,SS,SALTON SEA,SC,SOUTH COAST AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,42,SANTA BARBARA,SCC,SOUTH CENTRAL COAST,SB,SANTA BARBARA COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,38325,,1.56250000000000000000000000000000000001,1.31250000000000000000000000000000000001
108883,32,PLUMAS,MC,MOUNTAIN COUNTIES,NSI,NORTHERN SIERRA AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,5,CALAVERAS,MC,MOUNTAIN COUNTIES,CAL,CALAVERAS COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,58,YUBA,SV,SACRAMENTO VALLEY,FR,FEATHER RIVER AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,29,NEVADA,MC,MOUNTAIN COUNTIES,NSI,NORTHERN SIERRA AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,19,LOS ANGELES,MD,MOJAVE DESERT,AV,ANTELOPE VALLEY AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,3,AMADOR,MC,MOUNTAIN COUNTIES,AMA,AMADOR COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,28,NAPA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,7,CONTRA COSTA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,30,ORANGE,SC,SOUTH COAST,SC,SOUTH COAST AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
74839,6,COLUSA,SV,SACRAMENTO VALLEY,COL,COLUSA COUNTY APCD,93093402000000,930,WILDFIRES,N,3.7613271,,0.0128812571917808219178082191780821917809,0.000165144322971548998946259220231822971549
108883,24,MERCED,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,93093402000000,930,WILDFIRES,N,1172.8456227,,0.0478166023605675146771037181996086105677,0.0401659459828767123287671232876712328769
74839,10,FRESNO,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,93093402000000,930,WILDFIRES,N,1507.7421972,,5.16350067534246575342465753424657534249,0.0661987266069546891464699683877766069549
74839,33,RIVERSIDE,MD,MOJAVE DESERT,MOJ,MOJAVE DESERT AQMD,93093402000000,930,WILDFIRES,N,0,,0,0
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,93093402000000,930,WILDFIRES,N,6533.79725682,,0.2663811667000978473581213307240704500991,0.2237601800280821917808219178082191780825
74839,21,MARIN,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,93093402000000,930,WILDFIRES,N,105.4292158,,0.36105895821917808219178082191780821918,0.004628961002809975412715138742536002809995
74839,18,LASSEN,NEP,NORTHEAST PLATEAU,LAS,LASSEN COUNTY APCD,93093402000000,930,WILDFIRES,N,527.0883974,,1.80509725136986301369863013698630136987,0.0231422724534597822269055145767474534599
108883,41,SAN MATEO,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,93093402000000,930,WILDFIRES,N,96989.54652864,,3.95423787217221135029354207436399217223,3.32155981262465753424657534246575342467
74839,35,SAN BENITO,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,93093402000000,930,WILDFIRES,N,1.9436247,,0.00665624897260273972602739726027397260278,0.00008533652528977871443624868282402528977905
108883,33,RIVERSIDE,MD,MOJAVE DESERT,MOJ,MOJAVE DESERT AQMD,93093402000000,930,WILDFIRES,N,0,,0,0
74839,36,SAN BERNARDINO,SC,SOUTH COAST,SC,SOUTH COAST AQMD,93093402000000,930,WILDFIRES,N,163.184699,,0.558851708904109589041095890410958904111,0.00716476549877063575693712680014049877064
108883,35,SAN BENITO,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,93093402000000,930,WILDFIRES,N,436.05379458,,0.0177777965826810176125244618395303326812,0.0149333491294520547945205479452054794521
74839,36,SAN BERNARDINO,MD,MOJAVE DESERT,MOJ,MOJAVE DESERT AQMD,93093402000000,930,WILDFIRES,N,5.1074263,,0.0174911859589041095890410958904109589043,0.000224245973832103969090270460133473832105
108883,32,PLUMAS,MC,MOUNTAIN COUNTIES,NSI,NORTHERN SIERRA AQMD,93093402000000,930,WILDFIRES,N,248754.94213932,,10.14167246164872798434442270058708414877,8.51900486778493150684931506849315068497
108883,9,EL DORADO,MC,MOUNTAIN COUNTIES,ED,EL DORADO COUNTY AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,20,MADERA,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,31,PLACER,MC,MOUNTAIN COUNTIES,PLA,PLACER COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,12,HUMBOLDT,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,22,MARIPOSA,MC,MOUNTAIN COUNTIES,MPA,MARIPOSA COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,23,MENDOCINO,NC,NORTH COAST,MEN,MENDOCINO COUNTY AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,55,TUOLUMNE,MC,MOUNTAIN COUNTIES,TUO,TUOLUMNE COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,15,KERN,MD,MOJAVE DESERT,KER,EASTERN KERN APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
