"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,24,MERCED,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,33032214200000,330,PETROLEUM MARKETING,SP,10.04623196,,0.000409582190150032615786040443574690150034,0.000344049039726027397260273972602739726029
108883,24,MERCED,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,12013201360000,120,LANDFILLS,SP,74.46305884,,0.003035838993803000652315720808871493803013,0.002550104754794520547945205479452054794535
108883,24,MERCED,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,13099501360000,130,INCINERATORS,SP,1489.084384,,0.0607095720808871493803000652315720808874,0.0509960405479452054794520547945205479454
108883,24,MERCED,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,13013002400000,130,INCINERATORS,SP,0.0371,,0.00000151255707762557077625570776255707762558,0.00000127054794520547945205479452054794520549
108883,24,MERCED,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,49999500100000,499,OTHER (INDUSTRIAL PROCESSES),SP,1.92140112994350282485875706214689265536,,0.00007833501019012976291824678172484069860456,0.00006580140855970900085132729664886618682784
108883,24,MERCED,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,6002001100000,60,SERVICE AND COMMERCIAL,SP,0.0216,,0.0000008806262230919765166340508806262230919786,0.000000739726027397260273972602739726027397262
108883,27,MONTEREY,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,33039011000000,330,PETROLEUM MARKETING,SP,2.928,,0.000119373776908023483365949119373776908024,0.00010027397260273972602739726027397260274
108883,27,MONTEREY,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,9999500000000,99,OTHER (FUEL COMBUSTION),SP,0.024542454,,0.00000100058928571428571428571428571428571429,0.000000840495000000000000000000000000000000003
108883,27,MONTEREY,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,5000501100000,50,MANUFACTURING AND INDUSTRIAL,SP,9.7255,,0.00039650603392041748206131767775603392042,0.000333065068493150684931506849315068493152
108883,27,MONTEREY,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,6004501100000,60,SERVICE AND COMMERCIAL,SP,17.13513255,,0.000698594771281800391389432485322896281803,0.000586819607876712328767123287671232876715
108883,27,MONTEREY,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,5204501100000,52,FOOD AND AGRICULTURAL PROCESSING,SP,0.020496,,0.0000008356164383561643835616438356164383561679,0.000000701917808219178082191780821917808219181
108883,27,MONTEREY,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,31099500000000,310,OIL AND GAS PRODUCTION,SP,0.00106964,,0.0000000436089367253750815394651011089367253752,0.0000000366315068493150684931506849315068493153
108883,27,MONTEREY,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,31031616000000,310,OIL AND GAS PRODUCTION,SP,0.691269984,,0.00002818289236790606653620352250489236790618,0.00002367362958904109589041095890410958904123
108883,28,NAPA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,6002001100000,60,SERVICE AND COMMERCIAL,SP,0.481571468,,0.00001963353995433789954337899543378995433798,0.00001649217356164383561643835616438356164392
108883,28,NAPA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,12012202420000,120,LANDFILLS,SP,2741.7482144,,0.1117803414220482713633398564905414220488,0.093895486794520547945205479452054794521
108883,28,NAPA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,5207001100000,52,FOOD AND AGRICULTURAL PROCESSING,SP,0.000022131,,0.000000000902274951076320939334637964774951076325,0.000000000757910958904109589041095890410958904113
108883,30,ORANGE,SC,SOUTH COAST,SC,SOUTH COAST AQMD,6001001100000,60,SERVICE AND COMMERCIAL,SP,1.05,,0.00004280821917808219178082191780821917808241,0.00003595890410958904109589041095890410958922
108883,30,ORANGE,SC,SOUTH COAST,SC,SOUTH COAST AQMD,6004001100000,60,SERVICE AND COMMERCIAL,SP,7.085691,,0.00028888172700587084148727984344422700588,0.00024266065068493150684931506849315068493
108883,30,ORANGE,SC,SOUTH COAST,SC,SOUTH COAST AQMD,5004501100000,50,MANUFACTURING AND INDUSTRIAL,SP,79.29,,0.003232632093933463796477495107632093933479,0.002715410958904109589041095890410958904121
108883,30,ORANGE,SC,SOUTH COAST,SC,SOUTH COAST AQMD,6004001240000,60,SERVICE AND COMMERCIAL,SP,0.00828,,0.0000003375733855185909980430528375733855185924,0.000000283561643835616438356164383561643835618
108883,33,RIVERSIDE,MD,MOJAVE DESERT,MOJ,MOJAVE DESERT AQMD,33039011000000,330,PETROLEUM MARKETING,SP,0.070906899,,0.0000028908553082191780821917808219178082192,0.00000242831845890410958904109589041095890412
108883,33,RIVERSIDE,MD,MOJAVE DESERT,MOJ,MOJAVE DESERT AQMD,9904012000000,99,OTHER (FUEL COMBUSTION),SP,0.281232893,,0.00001146578983202870189171559034572733202876,0.00000963126345890410958904109589041095890415
108883,33,RIVERSIDE,MD,MOJAVE DESERT,MOJ,MOJAVE DESERT AQMD,5004000120000,50,MANUFACTURING AND INDUSTRIAL,SP,0.58847427,,0.00002399193860078277886497064579256360078288,0.00002015322842465753424657534246575342465762
108883,33,RIVERSIDE,SC,SOUTH COAST,SC,SOUTH COAST AQMD,5099501100000,50,MANUFACTURING AND INDUSTRIAL,SP,1.32,,0.00005381604696673189823874755381604696673212,0.00004520547945205479452054794520547945205506
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,43043070180000,430,MINERAL PROCESSES,SP,0,,0,0
74839,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,5000501100000,50,MANUFACTURING AND INDUSTRIAL,SP,0,,0,0
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,43042470060000,430,MINERAL PROCESSES,SP,767.903017954,,0.0313072006667482061317677756033920417485,0.0262980485600684931506849315068493150687
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,9999500000000,99,OTHER (FUEL COMBUSTION),SP,0.017315138,,0.0000007059335453359425962165688193085453359464,0.000000592984178082191780821917808219178082195
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,41040030000000,410,CHEMICAL,SP,263.045521288,,0.010724295551532941943900848010437051533,0.009008408263287671232876712328767123287722
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,45045056100000,450,WOOD AND PAPER,SP,1.758,,0.000071673189823874755381604696673189823875,0.000060205479452054794520547945205479452055
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,5007001100000,50,MANUFACTURING AND INDUSTRIAL,SP,41.4910736363636364,,0.001691579975389906898238747553816046966739,0.00142092717932752179452054794520547945206
